epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2674,0.80307,4.6291,1.04038,0.19119,0.32814,0.18797,0.16219,0.52564,2.96789,0.85973,6.003e-05,6.003e-05,6.003e-05
2,29.0428,0.71612,2.72042,1.03686,0.55441,0.49559,0.52728,0.4669,0.51664,2.79902,0.83879,0.000124639,0.000124639,0.000124639
3,32.7863,0.69137,1.79727,1.01776,0.49875,0.75292,0.70655,0.64924,0.47171,2.22764,0.84359,0.000187047,0.000187047,0.000187047
4,37.192,0.60738,1.3345,0.93162,0.80686,0.74553,0.87166,0.7839,0.50558,1.40866,0.87391,0.000247254,0.000247254,0.000247254
5,41.1197,0.61299,1.08316,0.92619,0.80422,0.88378,0.91768,0.82383,0.52532,1.02104,0.88881,0.000305259,0.000305259,0.000305259
6,44.7481,0.61635,1.01954,0.95013,0.83454,0.87966,0.93887,0.82804,0.54956,0.83073,0.88534,0.000361064,0.000361064,0.000361064
7,48.5463,0.61763,0.85263,0.91635,0.83307,0.89569,0.95038,0.86393,0.49513,0.75392,0.85183,0.000414667,0.000414667,0.000414667
8,52.7568,0.59975,0.79828,0.9081,0.72165,0.88008,0.93775,0.82791,0.53648,0.96392,0.86797,0.00046607,0.00046607,0.00046607
9,56.1545,0.6079,0.76254,0.91542,0.85359,0.90208,0.94805,0.84399,0.54315,0.62849,0.88605,0.000515271,0.000515271,0.000515271
10,59.605,0.60919,0.78462,0.94382,0.87017,0.88011,0.96599,0.86248,0.54212,0.64659,0.8948,0.000562271,0.000562271,0.000562271
11,63.9754,0.61525,0.70732,0.93513,0.8098,0.92996,0.94261,0.83117,0.54369,0.63456,0.88547,0.000556945,0.000556945,0.000556945
12,67.7147,0.61782,0.63849,0.93048,0.85968,0.95534,0.97604,0.86119,0.56213,0.5363,0.89019,0.00054594,0.00054594,0.00054594
13,71.1481,0.6021,0.81837,0.90597,0.91543,0.92908,0.98045,0.87511,0.55315,0.53867,0.89412,0.000534934,0.000534934,0.000534934
14,74.9151,0.53474,0.56649,0.90109,0.88921,0.95096,0.97742,0.88236,0.52246,0.50996,0.87504,0.000523928,0.000523928,0.000523928
15,78.9213,0.53258,0.53264,0.90206,0.88551,0.96373,0.98045,0.87141,0.52699,0.44509,0.86942,0.000512923,0.000512923,0.000512923
16,82.3905,0.54825,0.54784,0.90265,0.83118,0.92814,0.96545,0.85468,0.49601,0.48879,0.86614,0.000501917,0.000501917,0.000501917
17,85.7997,0.59469,0.8281,0.93845,0.85631,0.89832,0.95422,0.84218,0.53126,0.58725,0.88531,0.000490912,0.000490912,0.000490912
18,90.278,0.73235,1.06531,1.00263,0.86577,0.91663,0.94865,0.82339,0.57608,0.57721,0.90936,0.000479907,0.000479907,0.000479907
19,93.7399,0.58414,0.56278,0.93926,0.91485,0.94064,0.96513,0.85437,0.54702,0.46907,0.8944,0.000468901,0.000468901,0.000468901
20,97.1791,0.54561,0.48615,0.91834,0.90501,0.93008,0.95662,0.85137,0.51674,0.47812,0.87991,0.000457895,0.000457895,0.000457895
21,100.626,0.5214,0.46697,0.88157,0.92394,0.92461,0.9603,0.85432,0.51154,0.47948,0.87672,0.00044689,0.00044689,0.00044689
22,104.873,0.53919,0.48064,0.90406,0.91417,0.92407,0.96129,0.85064,0.55285,0.49484,0.8973,0.000435884,0.000435884,0.000435884
23,108.292,0.56212,0.47321,0.92437,0.89892,0.90745,0.95341,0.86288,0.5098,0.47208,0.87915,0.000424879,0.000424879,0.000424879
24,111.686,0.5295,0.46925,0.89904,0.94461,0.93556,0.96841,0.86435,0.51567,0.41795,0.88434,0.000413873,0.000413873,0.000413873
25,115.855,0.55547,0.47585,0.90821,0.93271,0.97296,0.97295,0.86714,0.50142,0.41051,0.88496,0.000402868,0.000402868,0.000402868
26,119.627,0.51876,0.4431,0.91147,0.9107,0.91485,0.96841,0.8676,0.52267,0.4457,0.88082,0.000391862,0.000391862,0.000391862
27,123.095,0.51331,0.43453,0.897,0.93912,0.94308,0.96538,0.85353,0.51715,0.40335,0.88111,0.000380857,0.000380857,0.000380857
28,126.601,0.50911,0.43323,0.89911,0.91699,0.92817,0.95932,0.85019,0.52447,0.4372,0.8881,0.000369851,0.000369851,0.000369851
29,130.766,0.52596,0.46989,0.92105,0.88038,0.97795,0.96235,0.8557,0.52428,0.43912,0.89266,0.000358846,0.000358846,0.000358846
30,134.346,0.54267,0.40654,0.9103,0.92503,0.9738,0.97295,0.86663,0.49496,0.39439,0.87493,0.00034784,0.00034784,0.00034784
